AssetID,AssetType,BuildingID,InstallationDate,ExpectedLifeYears,AgeYears,RemainingLifeYears,CurrentCondition,RiskLevel,PlannedReplacementDate,PurchaseCost
AST-001,Generator,BLD-04,2015-01-21,25,11.5,13.5,Fair,Medium,2040-01-15,671339
AST-002,Lighting,BLD-05,2023-01-04,8,3.5,4.5,Fair,Medium,2031-01-02,15485
AST-003,Pump,BLD-02,2018-10-06,12,7.8,4.2,Fair,Medium,2030-10-03,57331
AST-004,UPS,BLD-04,2025-09-04,10,0.9,9.1,Good,Low,2035-09-02,365388
AST-005,Chiller,BLD-05,2024-07-20,20,2.0,18.0,Good,Low,2044-07-15,1242463
AST-006,Fire Pump,BLD-04,2018-12-24,20,7.6,12.4,Good,Low,2038-12-19,411477
AST-007,Lighting,BLD-02,2018-10-29,8,7.7,0.3,Critical,Critical,2026-10-27,12517
AST-008,Chiller,BLD-05,2022-11-27,20,3.6,16.4,Good,Low,2042-11-22,1317215
AST-009,Generator,BLD-05,2014-04-02,25,12.3,12.7,Fair,Medium,2039-03-27,1283300
AST-010,Lighting,BLD-03,2019-06-29,8,7.0,1.0,Critical,Critical,2027-06-27,11543
AST-011,Pump,BLD-04,2022-12-07,12,3.6,8.4,Good,Low,2034-12-04,116784
AST-012,AHU,BLD-01,2024-12-24,15,1.5,13.5,Good,Low,2039-12-21,375732
AST-013,Pump,BLD-04,2022-06-13,12,4.1,7.9,Good,Low,2034-06-10,139192
AST-014,Generator,BLD-04,2023-03-10,25,3.3,21.7,Good,Low,2048-03-03,903457
AST-015,Generator,BLD-03,2005-01-15,25,21.5,3.5,Critical,Critical,2030-01-09,1054816
AST-016,Generator,BLD-01,2025-07-09,25,1.0,24.0,Good,Low,2050-07-03,1213328
AST-017,Fire Pump,BLD-03,2006-03-11,20,20.4,0.0,Critical,Critical,2026-03-06,581527
AST-018,UPS,BLD-01,2018-11-06,10,7.7,2.3,Poor,High,2028-11-03,378349
AST-019,Chiller,BLD-04,2016-04-14,20,10.2,9.8,Fair,Medium,2036-04-09,1131680
AST-020,AHU,BLD-02,2020-02-17,15,6.4,8.6,Fair,Medium,2035-02-13,281225
AST-021,Generator,BLD-03,2021-04-06,25,5.3,19.7,Good,Low,2046-03-31,1412804
AST-022,UPS,BLD-05,2018-11-14,10,7.7,2.3,Poor,High,2028-11-11,466161
AST-023,Pump,BLD-02,2022-08-10,12,3.9,8.1,Good,Low,2034-08-07,99009
AST-024,Generator,BLD-01,2002-03-31,25,24.3,0.7,Critical,Critical,2027-03-25,1463110
AST-025,Generator,BLD-01,2011-07-01,25,15.0,10.0,Fair,Medium,2036-06-24,1012340
AST-026,AHU,BLD-03,2017-11-23,15,8.6,6.4,Fair,Medium,2032-11-19,380351
AST-027,Pump,BLD-05,2024-09-26,12,1.8,10.2,Good,Low,2036-09-23,81571
AST-028,AHU,BLD-04,2024-02-12,15,2.4,12.6,Good,Low,2039-02-08,341865
AST-029,UPS,BLD-05,2025-04-05,10,1.3,8.7,Good,Low,2035-04-03,598774
AST-030,UPS,BLD-04,2024-08-16,10,1.9,8.1,Good,Low,2034-08-14,267314
AST-031,Generator,BLD-05,2018-08-18,25,7.9,17.1,Good,Low,2043-08-12,777932
AST-032,UPS,BLD-02,2019-03-27,10,7.3,2.7,Poor,High,2029-03-24,421846
AST-033,Generator,BLD-03,2017-01-05,25,9.5,15.5,Good,Low,2041-12-30,1247581
AST-034,Lighting,BLD-03,2018-07-03,8,8.0,0.0,Critical,Critical,2026-07-01,15647
AST-035,Lighting,BLD-01,2020-03-26,8,6.3,1.7,Poor,High,2028-03-24,12397
AST-036,Pump,BLD-03,2020-12-30,12,5.5,6.5,Fair,Medium,2032-12-27,58392
AST-037,AHU,BLD-02,2012-11-03,15,13.7,1.3,Critical,Critical,2027-10-31,295207
AST-038,Generator,BLD-01,2016-02-27,25,10.4,14.6,Fair,Medium,2041-02-20,507540
AST-039,Fire Pump,BLD-02,2011-11-19,20,14.7,5.3,Poor,High,2031-11-14,330866
AST-040,AHU,BLD-03,2025-05-01,15,1.2,13.8,Good,Low,2040-04-27,375348
AST-041,AHU,BLD-03,2014-07-04,15,12.0,3.0,Poor,High,2029-06-30,212391
AST-042,Fire Pump,BLD-05,2015-02-24,20,11.4,8.6,Fair,Medium,2035-02-19,412321
AST-043,Pump,BLD-04,2015-06-08,12,11.1,0.9,Critical,Critical,2027-06-05,81850
AST-044,UPS,BLD-01,2021-06-21,10,5.1,4.9,Fair,Medium,2031-06-19,299829
AST-045,AHU,BLD-03,2011-04-04,15,15.3,0.0,Critical,Critical,2026-03-31,262997
AST-046,Lighting,BLD-01,2021-06-05,8,5.1,2.9,Fair,Medium,2029-06-03,12651
AST-047,Fire Pump,BLD-01,2011-05-19,20,15.2,4.8,Poor,High,2031-05-14,638784
AST-048,AHU,BLD-03,2017-01-02,15,9.5,5.5,Fair,Medium,2031-12-30,340896
AST-049,UPS,BLD-02,2016-05-16,10,10.2,0.0,Critical,Critical,2026-05-14,257288
AST-050,Pump,BLD-04,2021-10-08,12,4.8,7.2,Good,Low,2033-10-05,120292
AST-051,Pump,BLD-03,2016-07-28,12,10.0,2.0,Poor,High,2028-07-25,74050
AST-052,Lighting,BLD-01,2023-03-27,8,3.3,4.7,Fair,Medium,2031-03-25,19327
AST-053,Lighting,BLD-01,2019-11-12,8,6.7,1.3,Poor,High,2027-11-10,6604
AST-054,Fire Pump,BLD-01,2013-11-29,20,12.6,7.4,Fair,Medium,2033-11-24,307737
AST-055,UPS,BLD-02,2016-07-08,10,10.0,0.0,Critical,Critical,2026-07-06,323930
AST-056,Lighting,BLD-02,2020-08-03,8,5.9,2.1,Poor,High,2028-08-01,12886
AST-057,UPS,BLD-02,2021-07-16,10,5.0,5.0,Fair,Medium,2031-07-14,230741
AST-058,Lighting,BLD-03,2026-01-05,8,0.5,7.5,Good,Low,2034-01-03,11396
AST-059,UPS,BLD-03,2017-03-26,10,9.3,0.7,Critical,Critical,2027-03-24,438555
AST-060,Lighting,BLD-05,2018-03-23,8,8.3,0.0,Critical,Critical,2026-03-21,16968
AST-061,Fire Pump,BLD-02,2009-12-03,20,16.6,3.4,Poor,High,2029-11-28,555155
AST-062,Pump,BLD-01,2019-05-20,12,7.2,4.8,Fair,Medium,2031-05-17,78534
AST-063,Generator,BLD-03,2001-09-18,25,24.8,0.2,Critical,Critical,2026-09-12,563918
AST-064,AHU,BLD-04,2024-11-29,15,1.6,13.4,Good,Low,2039-11-26,303138
AST-065,Generator,BLD-01,2002-03-19,25,24.3,0.7,Critical,Critical,2027-03-13,665080
AST-066,Generator,BLD-02,2022-06-11,25,4.1,20.9,Good,Low,2047-06-05,1392697
AST-067,AHU,BLD-02,2012-09-09,15,13.8,1.2,Critical,Critical,2027-09-06,167815
AST-068,Lighting,BLD-05,2024-09-09,8,1.8,6.2,Good,Low,2032-09-07,19586
AST-069,Pump,BLD-01,2025-02-22,12,1.4,10.6,Good,Low,2037-02-19,131183
AST-070,Lighting,BLD-05,2018-08-31,8,7.9,0.1,Critical,Critical,2026-08-29,14562
AST-071,Generator,BLD-03,2011-11-05,25,14.7,10.3,Fair,Medium,2036-10-29,1480110
AST-072,Pump,BLD-03,2018-12-28,12,7.5,4.5,Fair,Medium,2030-12-25,81285
AST-073,Lighting,BLD-03,2024-07-26,8,2.0,6.0,Good,Low,2032-07-24,16004
AST-074,Lighting,BLD-01,2022-06-28,8,4.0,4.0,Fair,Medium,2030-06-26,17318
AST-075,AHU,BLD-05,2015-10-04,15,10.8,4.2,Poor,High,2030-09-30,312833
AST-076,AHU,BLD-02,2024-05-23,15,2.1,12.9,Good,Low,2039-05-20,290937
AST-077,Generator,BLD-03,2014-02-20,25,12.4,12.6,Fair,Medium,2039-02-14,638890
AST-078,AHU,BLD-03,2020-07-22,15,6.0,9.0,Good,Low,2035-07-19,246869
AST-079,Pump,BLD-03,2016-03-17,12,10.3,1.7,Critical,Critical,2028-03-14,121200
AST-080,Generator,BLD-05,2002-04-23,25,24.2,0.8,Critical,Critical,2027-04-17,508203
AST-081,Chiller,BLD-01,2005-02-20,20,21.4,0.0,Critical,Critical,2025-02-15,2191226
AST-082,Pump,BLD-01,2020-02-08,12,6.4,5.6,Fair,Medium,2032-02-05,65129
AST-083,Fire Pump,BLD-03,2013-08-17,20,12.9,7.1,Fair,Medium,2033-08-12,381499
AST-084,Chiller,BLD-03,2012-06-21,20,14.1,5.9,Poor,High,2032-06-16,1241722
AST-085,Pump,BLD-04,2020-02-12,12,6.4,5.6,Fair,Medium,2032-02-09,116244
AST-086,Chiller,BLD-01,2005-09-24,20,20.8,0.0,Critical,Critical,2025-09-19,906533
AST-087,Fire Pump,BLD-01,2016-07-15,20,10.0,10.0,Fair,Medium,2036-07-10,445060
AST-088,AHU,BLD-02,2018-07-22,15,8.0,7.0,Fair,Medium,2033-07-18,352144
AST-089,Fire Pump,BLD-04,2020-02-29,20,6.4,13.6,Good,Low,2040-02-24,384715
AST-090,Generator,BLD-01,2006-11-07,25,19.7,5.3,Poor,High,2031-11-01,1088153
AST-091,AHU,BLD-02,2024-05-07,15,2.2,12.8,Good,Low,2039-05-04,397739
AST-092,Generator,BLD-03,2024-06-02,25,2.1,22.9,Good,Low,2049-05-27,1375136
AST-093,Generator,BLD-04,2001-04-02,25,25.3,0.0,Critical,Critical,2026-03-27,655287
AST-094,Pump,BLD-03,2025-02-05,12,1.4,10.6,Good,Low,2037-02-02,90404
AST-095,UPS,BLD-03,2016-05-20,10,10.2,0.0,Critical,Critical,2026-05-18,220916
AST-096,Pump,BLD-01,2020-06-09,12,6.1,5.9,Fair,Medium,2032-06-06,137416
AST-097,Chiller,BLD-04,2008-07-16,20,18.0,2.0,Critical,Critical,2028-07-11,1974160
AST-098,Generator,BLD-02,2019-02-07,25,7.4,17.6,Good,Low,2044-02-01,1470733
AST-099,UPS,BLD-04,2024-03-19,10,2.3,7.7,Good,Low,2034-03-17,292826
AST-100,AHU,BLD-03,2022-01-05,15,4.5,10.5,Good,Low,2037-01-01,343085
